K,C_Avg,Execution Time (minutes)
2,0.96,288.15721206666666
5,1.059,84.09156379999999
10,1.092,48.25313476666667
15,1.118,38.307823983333336
20,1.111,33.075421383333335
25,1.146,29.0209786
30,1.124,26.29800648333333
35,1.119,23.721674833333335
40,1.12,22.55869535
45,1.129,21.385641433333333
50,1.153,19.5084422
55,1.157,18.310477433333332
60,1.128,17.793283283333334
65,1.113,17.52124695
70,1.127,17.070690116666665
